raw_aspect,sentence,label,label_id
photos,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,camera,17
photo,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,camera,17
selfies,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,camera,17
usb type c,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,charging_port,23
battery build-up,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,build_quality,14
battery backup,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,battery_life,7
colour definition and saturation,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,color_reproduction,26
selfie,nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the usb type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide ota updates and the network celebrity updates of the issues and after the selfie is good but its average,camera,17
budget smartphone,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,value_for_money,104
pubg at hd and high fps,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,gaming_performance,47
hisilicon kirin 710 processor,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,internal_components,53
processor fast and good,entry level good budget smartphone -good for pubg at hd and high fps-hisilicon kirin 710 processor fast and good,performance,68
decent camera,fast response-decent camera not good at low light,camera,17
not good at low light,fast response-decent camera not good at low light,camera,17
camera,don't purchase this smartphone for camera and long battery use,camera,17
long battery use,don't purchase this smartphone for camera and long battery use,battery_life,7
3500mah battery,3500mah battery small and no fast charging available,battery,6
fast charging,3500mah battery small and no fast charging available,charging_speed,24
the juice won't run out fast,but the juice won't run out fast,battery_life,7
premium look,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,design,34
front camera,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,camera,17
real camera,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,camera,17
gaming performance,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,gaming_performance,47
display,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,display,37
battery backup,this phone is premium look front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better,battery_life,7
quality/performance,quality/performance is not as good as was in honor 6x and honor 8x,performance,68
phone,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,overall,65
phones,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,overall,65
valuable price,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,value_for_money,104
build quality,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,build_quality,14
performance,good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones,performance,68
display,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",display,37
camera,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",camera,17
mobile,"wow terrific purchase display is awesome , camera is good , i always trust huawei it's one of the best mobile you can buy under 9k",overall,65
mobile,excellent mobile honor from huwai,phone_type,71
camera quality,best camera quality and easy operations,camera,17
easy operations,best camera quality and easy operations,usability,103
worth of money,perfectly right this model for worth of money and there is no more comment on this,value_for_money,104
battery back up,and some litttle disappointed on battery back up,battery_life,7
display quality,"best feature in this phone, display quality good camera quality good , best performance pubg playing",display,37
camera quality,"best feature in this phone, display quality good camera quality good , best performance pubg playing",camera,17
performance pubg playing,"best feature in this phone, display quality good camera quality good , best performance pubg playing",gaming_performance,47
product,it is awesome product,overall,65
all functions,all functions are awesome,features,44
front camera quality,front camera quality is too good but back camera is not so special,camera,17
back camera,front camera quality is too good but back camera is not so special,camera,17
budget phone,a nice budget phone i'm happy with it,value_for_money,104
device,the device is good but body of the device is below the average,overall,65
body of the device,the device is good but body of the device is below the average,build_quality,14
hold this in your hand,when you hold this in your hand its not feel good,build_quality,14
honor 9 lite,i will say honor 9 lite was good as compare to honor 10 lite,previous_model_comparison,73
honor 10 lite,i will say honor 9 lite was good as compare to honor 10 lite,previous_model_comparison,73
overall rating,overall rating is 3 star,overall,65
aesthetic appearance,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",design,34
good camera,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",camera,17
nice display,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",display,37
great value for money,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",value_for_money,104
"can't play cod with gyroscope always on, it's lagging","pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",gaming_performance,47
no slow motion video recording,"pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",slow_motion_video,89
"not good for heavy games like cod, pubg & pes 2020","pros:aesthetic appearance, good camera, nice display, i got for 8k during big billion days- great value for moneycons:can't play cod with gyroscope always on, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020",gaming_performance,47
display,good if a person is not a heavy user as well a not so good display but then also i am giving it 5* cuz it got really good camer,display,37
camer,good if a person is not a heavy user as well a not so good display but then also i am giving it 5* cuz it got really good camer,camera,17
device,this is a awesome device for this price range,overall,65
handy,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",ergonomics,42
light weight,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",weight,108
good display,"very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user",display,37
