product,category,rating,review_title,sentence
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Camera is really so good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Most important it's performances
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,That's really good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,You can play both Pubg and pubg lite so easily
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,I have 3 and 32 model
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Its i play both without any issues
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,So if you confused
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Just go for it without think
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,super phone I like my wife like and super colour
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,back camera is below average and front is also an average one
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,processor is very smooth and fast
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,build of the phone is good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,but lacks the Glass feel
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,Overall Completely Dissatisfied with the Camer performance
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,"Go for HONOR 9N, OR HONOR 9 LITE, AND BEST OF ALL HONOR 8 X"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,"After almost 6 months of usage, the phone is still in great shape"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,The battery could have been better but it isn't that bad
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Security updates are also pushed regularly
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,A satisfying buy
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,this is my 2nd Honor Phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,P R O SGood ergonomics and nice grip
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,The loudspeaker is loud indeed
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Above average battery life
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Decent large screen
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,The Kirin 710 is a good performer
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Customizable and feature-rich UIC O N SPlasticky build
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,No fast charging
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Underwhelming camera performance
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,No video stabilization and no 4K video recording
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,We've seen more responsive EMUI implementations
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Dated microUSB connector instead of USB-C
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,it's just amazing phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I got it for 6400 only on BBD after exchange
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Don't go for ratting bcz when I bought it it's ratting for display is 3
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,5 only but I like display too much& I will definitely give 5/5 for display
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,I've been using this phone from the last 10 days and I know how awesome this phone is
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,AI features of the camera is excellent to take daylight shots and night shots are also amazing
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Battery backup is awesome and no lags are seen while playing games or doing multitasking
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Many phones in this price segment comes with HD+ resolution but this packs a FHD+ LCD panel which is great
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,EMUI works smoother than MIUI or ColorOS
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,You'll get the pie update in near future 6
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Really Nice,Good product and worth for that amount
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Really Nice,Timely delivery of flipkart is the another advantage
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,good but as compared to price ratio the honor 10 lite is not value for money
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,and battery is just 3400mah which not that good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,if you used it heavy than just run-out within 4
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,for battery big thumbs down
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,rest is things is just ok not so good not so bad just average
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,Huawei honor smartphone are best and honor 10lite is speed perfomance very best quality camera and best battery life
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,"Honor phone are best phone, huawei is 2nd largest smartphone company in the world"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,I bought this phone from flipkart one week ago
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,Overall This is really best phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,Camera is superb
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,Displaye is awesome
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,Battery is out of 4/5
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,According to me this is a durable phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Wonderful,Thanks Honor and Flipkart
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,product is good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,lightly overheating problem
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,camera and battery is good as per performance
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,unlock system not as fast as much would be
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,looking smart and more attractive
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,colour variation is best
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,slim and smart mobile phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,Good phone for the price
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,"Rather I would say, best phone in this segment"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,"Love the battery life, display and camera of this phone compared to many others I have tried"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Simply awesome,Amazing design very excellent performance and very good camera quality in Honor 10 Lite also i like Huawei Honor Mobile
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Simply awesome,Thanks flipkart for faster delivery
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Recently I exchanged my Mi A2 with this one
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Initially I was somewhat skeptical but extremely happy with my decision now
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,MIUI9 is fun to go along
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,The far better OS compared to xiaomi and realme
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"It has numerous useful features in it like notch settings, display settings and customizations etc"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"The OS, display (FHD+ notch), file manager, camera are the biggest assets"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,They are clean and beautiful and very easy to organise
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Especially the AI camera adjusts its settlings very optimally to get
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Nice phone camera is best all settings tha best tha compair vivo s1
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Tnx flipcat awesome best brand
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Best in the market!,Very good camera and very good experience I like this
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Best in the market!,Smart phone and high quality gaming experience very smooth gaming experience
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,"This mobile honer 10 lit value for money i love it, and camera quality is a good quality"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,But one disappoint in battery pick up is very most 😭😭
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,And also good for this mobile i love it♥️♥️♥️😍😍😍
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,first let me thank to flipcart for faster delivery
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,the product is good one
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,it is covered with screen protection
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,given back pouch
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,ejector pin and manual
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,the phone is working in good condition
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,fm is very good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,camera ok overall good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,battery backup is 3 days if you are not using videos
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"This mobile is awesome at this price range , I don’t think any other brand could provide you such features at such a low cost , camera is awesome , battery backup is really good, even I am shocked with the features of the mobile"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"I had checked the camera it is really good specially the selfie camera 5 out of 5 bookeh effect is another add on with it , battery is pretty decent as well, storage is sufficient and 3gb ram is like cherry on the cake"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,From my point of view it’s a awesome choi
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Pretty good,Best phone under this prize but speaker quality not good but best phone
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Very good phone for this price
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Camera may not satisfy those who like taking pictures and all
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,"But for someone like me who is more concerned about overall performance and ability to do my work seamlessly, this phone has given me enough reasons to not complain"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,The processor is good and RAM is just enough to prevent apps from hanging
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Many times I do multitasking and it hasn't let me down
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,"Since I am not into photography and video making, storage is less of a concern"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Speaker could have been b
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I personally use honor 8X and it's up to the mark so I ordered my mother this low end device from huawei honor
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,And it hasn't failed the expectations
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Best in the cheapest price
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Decent and sleek look
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Go for it if you are not a heavy cellphone user
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,"Beautiful smartphone must buy please battery,camera, display, performance everything is good I love it but rear camera is avarage not so good not so badbut I recommended you that you can go for it"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Very good product in this price range display is very good and camera is also good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,Small size battery but not small size backup very good battery backup
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Worth the money,I m fully satisfied
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,if u r going to unbox it u will have smile on ur face
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,i challengeAs per my point of view ur money will not waste for this mobile
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,A good step towards customer for their full satisfaction in term of smartphone by Honor Huwai
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Super!,This product is So cute
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"This is the really great phone in this price, I searched all brands like oppo, vivo, redmi etc"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"But never get all these future in this price range, honor 10 lite best phone in this price range"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Go for it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Good,Nice photos ninice phone nice photo will take selfies it's very good but the company makes to build up after finishing it's definitely go with the USB type c the battery build-up is very good the battery backup is good the colour definition and saturation is over saturated so need to company provide by the software related issues solved soon the company need to provide OTA updates and the network celebrity updates of the issues and after the selfie is good but its average
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,Entry level good budget Smartphone -Good for PUBG at HD and high fps-HiSilicon Kirin 710 processor fast and good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,Fast response-decent Camera not good at low light
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,don't purchase this smartphone for camera and long battery use
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,3500mah battery small and no fast charging available
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Fabulous!,but the juice won't run out fast
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,This phone is premium look Front camera is awesome real camera is much better on this price gaming performance like wait much better display is so good battery backup sometimes better
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Realme is better in the same price range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Quality/performance is not as good as was in honor 6x and honor 8x
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Value-for-money,Good phone amd honor realy make very good phones at low bajet phones and it valuable price and build quality is good as compare to samsung phone also performance better and good to compare samsung phones
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,"Wow Terrific Purchase Display is Awesome , Camera is good , I always trust Huawei it's one of the best mobile you can buy under 9k"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Worth every penny,Excellent Mobile Honor From Huwai
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Worth every penny,Best camera quality and Easy operations
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Good quality product,perfectly right this model for worth of money and there is no more comment on this
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Good quality product,and some litttle disappointed on battery back up
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"best feature in this phone, display quality good camera quality good , best performance pubg playing"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,It is awesome product
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,All functions are awesome
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,Trust the product
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,Fast delivery and good response
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Perfect product!,Thank you filipcart
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,Front camera quality is too good but back camera is not so special
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,A nice budget phone I'm happy with it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,The device is good but body of the Device is below the average
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,when you hold this in your hand its not feel good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,i will say Honor 9 Lite was good as compare to Honor 10 Lite
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,Overall Rating is 3 Star
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Best in the market!,"Pros:aesthetic appearance, good camera, nice display, I got for 8K during big billion days- great value for moneyCons:can't play COD with GYROSCOPE always On, it's laggingno slow motion video recording not good for heavy games like cod, pubg & pes 2020"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,good if a person is not a heavy user as well a not so good display but then also i am giving it 5* cuz it got really good camer
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,I purchased this for my colleague
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,This is a awesome device for this price range
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,"Very handy, light weight, good display, good front cam and aslo moderate back camera for a normal user"
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,The screen to body ratio is more than 90%
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,So friends please go for it
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,You will never disappointed
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,Front camera of 9 lite is better then 10 lite and back camera is much much better than 9 lite
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Does the job,Don't buy if u want good camera
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Does the job,Rest all perfect for me in all aspects other than camera
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,Camera is not as expected but its good
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,Good battery backup
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,Lookwise its awesome
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,Display is not as great as honor 9N
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,overall its nice product
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,Thank you flip kart
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Reviewing after 5 days of use
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,"Pros: looks like a high end sleek phone, camera is almost a Canon dslr, value for money"
