product,category,rating,review_title,sentence,raw_aspect,initial_canonical_feature,final_canonical_feature,sentiment,match_type,has_feature
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,"Superb camera, beautiful and slim design, light weight, good battery life, one full charge will make your day, you can play pubg, call of duty without any issue","play pubg, call of duty without any issue",performance,gaming_performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Just love it,it,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Must buy!,good and best mobil honor is best company,mobil,overall,brand,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",performance,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",camera quality,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",battery charging,battery,charging_speed,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",drain,battery,battery,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,3,Decent product,"nice phone good performance good camera quality,battery charging fast and drain also fast mobile design same like previous phones",mobile design,design,design,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,it's actually a pretty good smartphone,smartphone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,I had vivo y91i but comparing each other this is better in every way,this,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"the honor 10 lite stock wallpapers,ringtones, icons and the UI is boring",stock wallpapers,ui,ui,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"the honor 10 lite stock wallpapers,ringtones, icons and the UI is boring",ringtones,ui,sound_quality,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"the honor 10 lite stock wallpapers,ringtones, icons and the UI is boring",icons,ui,ui,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"the honor 10 lite stock wallpapers,ringtones, icons and the UI is boring",the UI,ui,ui,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,honor 9 lite had a better case and this one comes with a cheap back cover,case,build quality,accessories,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,honor 9 lite had a better case and this one comes with a cheap back cover,cheap back cover,build quality,accessories,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"light weight, fits in palm perfectly",light weight,weight,weight,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,"light weight, fits in palm perfectly",fits in palm perfectly,ergonomics,ergonomics,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,poco launcher is better than stock one,poco launcher,ui,launcher,positive,new,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Very Good,poco launcher is better than stock one,stock one,ui,launcher,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,very good camera quality and performance is excellent,camera quality,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,very good camera quality and performance is excellent,performance,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Classy product,freedom sale thanks flipkart very fast deliveryI am very happy used this phone,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Dslr effect,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,front camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Honor 10 lite Camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Honor 10 lite,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Very Good Camera and also Dslr effect and front camera also good comparing to Realme 3 Pro Front Camera is 25mp ane Honor 10 lite Camera is 24MP but the Winner is Honor 10 lite a very Good Pictures clicking on my Honor 10 Lite Very Happy To Bought this Phone,Good Pictures,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Best phone in this price,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I'm very happy with this product,product,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Notch is small and negligible so full screen is there almost for use,Notch,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Notch is small and negligible so full screen is there almost for use,full screen,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Camera is good as for now,Camera,camera,camera,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Battery backup is also more than good enough for the price I paid,Battery backup,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,Battery backup is also more than good enough for the price I paid,price I paid,value for money,price,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Oh my God honor 10 lite is realllllly so cool phone,honor 10 lite,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Oh my God honor 10 lite is realllllly so cool phone,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,everyone people should buy this cool phone and also thank you flipcart and honor❤️❤️,cool phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,Great phone that I never had used,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,The brand I like soo much for its cam and performance,cam,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,The brand I like soo much for its cam and performance,performance,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,I used honor 7c before it is soo good to play high ranged games like pubg,play high ranged games like pubg,performance,gaming_performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,And I make sure that this phone is even more better than it,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Awesome,So I ll give 5 stars to it,it,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,selfie burst,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,steel frame,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,Kirin 710,performance,internal_components,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,screen,display,display,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,The camera is Awesome specially the selfie burstThe phone had steel frame looks too goodI expected Kirin 710 more fastThe screen is OK need improvementNot better than Honor 9n except the selfie camera,selfie camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Amazing phone in this price range,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Amazing phone in this price range,price range,value for money,price,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,I got it in sale in 7199 only it is amazing,it,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,It's been a month using this and no problem is there so far,no problem,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",Camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",selfie phone,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",rear camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",pro mode,camera,camera_settings,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,"Camera is so good, basically this is selfie phone but rear camera is also very good, have a pro mode which also gives all manual controls",manual controls,camera,camera_settings,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Interface is user friendly,Interface,ui,ui,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,so far it is the best phone in this range,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Honor is the excellent phone than all,Honor,overall,brand,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Honor is the excellent phone than all,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Camera is really so good,Camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Most important it's performances,performances,performance,performance,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,You can play both Pubg and pubg lite so easily,Pubg and pubg lite,performance,gaming_performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Its i play both without any issues,i play both,performance,gaming_performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Highly recommended,Just go for it without think,it,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,super phone I like my wife like and super colour,super phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,4,Nice product,super phone I like my wife like and super colour,super colour,color,color,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,back camera is below average and front is also an average one,back camera,camera,camera,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,back camera is below average and front is also an average one,front,camera,camera,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,processor is very smooth and fast,processor,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,build of the phone is good,build of the phone,build quality,build_quality,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,but lacks the Glass feel,Glass feel,build quality,material_feel,negative,new,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,Overall Completely Dissatisfied with the Camer performance,Camer performance,camera,camera,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,2,Bad quality,Overall Completely Dissatisfied with the Camer performance,Overall,overall,overall,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,"After almost 6 months of usage, the phone is still in great shape",phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,The battery could have been better but it isn't that bad,battery,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Mind-blowing purchase,A satisfying buy,buy,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",Camera quality,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",mobile look,design,design,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",lite weight,weight,weight,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",battery backup,battery,battery,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific purchase,"Best mobile available in market- Camera quality awesome, mobile look is very good, lite weight, battery backup very good, also in budget phone",in budget phone,value for money,value_for_money,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,P R O SGood ergonomics and nice grip,ergonomics,ergonomics,ergonomics,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,P R O SGood ergonomics and nice grip,grip,ergonomics,grip,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,The loudspeaker is loud indeed,loudspeaker,speakers,speakers,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Above average battery life,battery life,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Decent large screen,large screen,display,display,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,The Kirin 710 is a good performer,The Kirin 710,performance,performance,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Customizable and feature-rich UIC O N SPlasticky build,UIC,ui,ui,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Customizable and feature-rich UIC O N SPlasticky build,feature-rich UIC,ui,ui,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Customizable and feature-rich UIC O N SPlasticky build,Plasticky build,build quality,build_quality,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,No fast charging,fast charging,charging speed,charging_speed,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Underwhelming camera performance,camera performance,camera,camera,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,No video stabilization and no 4K video recording,video stabilization,camera,video_resolution,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,No video stabilization and no 4K video recording,4K video recording,camera,video_resolution,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,We've seen more responsive EMUI implementations,EMUI implementations,ui,ui,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Brilliant,Dated microUSB connector instead of USB-C,microUSB connector,charging port,charging_port,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,it's just amazing phone,phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Don't go for ratting bcz when I bought it it's ratting for display is 3,display,display,display,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,5 only but I like display too much& I will definitely give 5/5 for display,display,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,5 only but I like display too much& I will definitely give 5/5 for display,display,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,Camera of phone both front and back,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Camera of phone both front and back is also superb but it's night mode is not upto mark & it needs very much improvement,it's night mode,camera,camera_settings,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should,Battery backup,battery,battery,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should,capacity of 3400mah,battery,battery,neutral,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Terrific,Battery backup good with respect to it's capacity of 3400mahlast but not least it feels like premium phone while holding itAs per my suggestion u should,it feels like premium phone while holding it,build quality,material_feel,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,I've been using this phone from the last 10 days and I know how awesome this phone is,this phone,overall,overall,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,AI features of the camera is excellent to take daylight shots and night shots are also amazing,AI features of the camera,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,AI features of the camera is excellent to take daylight shots and night shots are also amazing,daylight shots,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,AI features of the camera is excellent to take daylight shots and night shots are also amazing,night shots,camera,camera,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Battery backup is awesome and no lags are seen while playing games or doing multitasking,Battery backup,battery,battery,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Battery backup is awesome and no lags are seen while playing games or doing multitasking,lags,performance,performance,negative,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,Many phones in this price segment comes with HD+ resolution but this packs a FHD+ LCD panel which is great,FHD+ LCD panel,display,display,positive,existing,True
"Honor 10 Lite (Midnight Black, 32 GB)",Mobiles,5,Excellent,EMUI works smoother than MIUI or ColorOS,EMUI,ui,ui,positive,existing,True
